,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
201,N/A,N/A,life,N/A,N/A,N/A,N/A,N/A,23.07,142.0,N/A,0.95,7020000.0,N/A,N/A,N/A,1.90,39873600.0,7020000.0,7020000.0,0.03,0.03,0.03,14050000.0,14050000.0,9680000.0,0.03,0.03,N/A,N/A,4950000.0,5.33,9680000.0,4.82,4.50,N/A,2.31,5.60,31.33,38.37,0.45,0.45,30.12,4.26,9360000.0,N/A
202,N/A,N/A,lly,N/A,N/A,N/A,N/A,N/A,551.52,27.130794701986755,N/A,48.24,23.97,28.09,10.25,192.05,25.28,156733461500.0,164500000000.0,20.66,1.79,7.12,21.55,22320000000.0,17600000000.0,7630000000.0,5530000000.0,6.04,15.10,15.10,4840000000.0,1.98,17630000000.0,1.11,3.40,4910000000.0,0.26,0.15,79.61,8700000.0,1.46,0.76,8700000.0,163.87,956450000.0,N/A
203,N/A,N/A,lm,N/A,N/A,N/A,N/A,N/A,51.35,17.817204301075268,N/A,1.15,8.60,20.19,4.67,6.83,33.65,4377959700.0,6240000000.0,14.71,2.75,2.13,9.48,2920000000.0,1130000000.0,657510000.0,243270000.0,2.79,25.40,3.90,560560000.0,14.16,2330000000.0,2.20,43.21,560560000.0,0.76,2.32,81.69,13990000.0,5.92,16.67,14870000.0,49.71,88070000.0,N/A
204,N/A,N/A,lmt,N/A,N/A,N/A,N/A,N/A,363.89,16.424682395644282,N/A,29.46,10.21,12.82,10.10,207.79,216.99,101519280000.0,112260000000.0,13.72,1.71,1.84,12.56,59810000000.0,8369999999.999999,8940000000.0,6240000000.0,22.04,1.50,9.20,7310000000.0,7.09,12690000000.0,1.23,12.29,7960000000.0,0.97,0.07,80.38,2210000.0,1.46,0.93,2400000.0,362.00,280440000.0,N/A
205,N/A,N/A,lnc,N/A,N/A,N/A,N/A,N/A,48.74,10.424698795180722,N/A,0.40,3.87,6.78,0.24,4.16,89.35,6687344200.0,4540000000.0,3.64,0.42,0.26,3.57,17260000000.0,4590000000.0,1270000000.0,3.32,3.32,11.60,11.60,8900000000.0,52.9,8080000000.0,4.65,85.79,11.60,2.26,0.70,85.96,8260000.0,3.79,4.88,9670000.0,34.61,193220000.0,N/A
206,N/A,N/A,low,N/A,N/A,N/A,N/A,N/A,96.62,22.846801346801346,N/A,59.71,6.17,9.66,10.04,184.65,96.62,994754300.0,122560000000.0,18.56,0.94,1.65,14.29,72150000000.0,23100000000.0,8580000000.0,4560000000.0,5.94,34.40,10.90,4300000000.0,8.15,26260000000.0,1.20,2.27,6610000000.0,1.42,0.17,78.30,7330000.0,1.05,0.97,10650000.0,135.71,7330000.0,N/A
207,N/A,N/A,lrcx,N/A,N/A,N/A,N/A,N/A,116.53,23.304535637149026,N/A,10.36,21.81,26.37,12.27,42.67,66.05,46988292000.0,46880000000.0,18.45,1.47,4.88,16.76,9650000000.0,4360000000.0,2800000000.0,2100000000.0,13.89,11.80,2.60,3180000000.0,37.15,5290000000.0,4.47,31.26,2190000000.0,1.34,0.32,89.83,4380000.0,2.06,3.02,4160000.0,323.70,145160000.0,N/A
208,N/A,N/A,luv,N/A,N/A,N/A,N/A,N/A,70.74,9.91860465116279,N/A,1.91,8.46,10.85,5.47,19.28,40.67,20109986800.0,18230000000.0,17.06,2.47,0.85,5.38,22430000000.0,7020000000.0,3390000000.0,1820000000.0,3.44,29.62,29.62,3990000000.0,10.9,6420000000.0,0.69,17.84,2500000000.0,1.24,0.25,76.34,17910000.0,0.59,3.88,19650000.0,34.12,589390000.0,N/A
209,N/A,N/A,lyb,N/A,N/A,N/A,N/A,N/A,209.30,8.486692015209124,N/A,3.05,8.12,10.52,7.21,30.71,97.36,22339195199.999996,36270000000.0,8.99,1.09,1.09,7.57,34730000000.0,5450000000.0,4790000000.0,2720000000.0,7.89,14.18,14.18,4960000000.0,5.46,15610000000.0,1.75,21.95,4850000000.0,1.58,23.42,69.60,5870000.0,2.19,2.30,7450000.0,66.96,333620000.0,N/A
210,N/A,N/A,m,N/A,N/A,N/A,N/A,N/A,318.13,11.724137931034484,N/A,0.78,307440000.0,0.35,0.25,10160000000.0,73.54,2105756000.0,9170000000.0,11.72,0.10,0.40,11.81,25330000000.0,10160000000.0,8580000000.0,0.58,0.58,37.42,37.42,1610000000.0,4.91,8580000000.0,1.24,8.69,1480000000.0,1.6,0.12,97.71,129710000.00000001,2.12,47.21,132060000.0,6.80,309670000.0,N/A
